SMILES,Caco-2,CYP3A4,hERG,HOB,MN
CC1(C)Oc2cc(O)cc(O)c2N=C1c3ccc(O)c(Br)c3,0,1,0,0,1
CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCCCC5)cc4,0,1,0,0,1
Oc1ccc(cc1)[C@@H]2Sc3c(O)cc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc2C3=Nc4ccc(O)cc4OC3CCc2c1,1,1,0,0,1
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CC(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)[C@@H]2Sc3ccccc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,1,1,1,0,0
Oc1ccc(cc1)[C@@H]2Sc3c(F)cc(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)C2=Nc3ccc(O)cc3OC2,1,0,0,0,1
CCC1Oc2cc(O)cc(O)c2N=C1c3ccc(O)c(Br)c3,0,0,0,0,1
CC1Oc2cc(O)cc(C)c2N=C1c3ccc(O)c(Br)c3,1,1,0,0,1
Oc1ccc2C(N(CCc2c1)c3ccccc3)c4ccc(F)cc4,1,1,1,0,1
CC(C)c1ccc(cc1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CN(C)c1cccc(c1)N2CCc3cc(O)ccc3C2(C)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc2O[C@@H]([C@@H](Sc2c1)c3ccccc3O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CCc1cc(O)cc2O[C@@H]([C@@H](Sc12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)[C@@H]2Sc3cc(O)cc(Cl)c3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3ccc(F)cc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
COc1ccc(cc1)C2Sc3cc(O)ccc3OC2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
CC1CCCC(C)N1CCOc2ccc(cc2)[C@@H]3Oc4ccc(O)cc4S[C@@H]3c5cccc(O)c5,0,1,1,0,1
CCCC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,1,0,1,0,1
Oc1ccc(cc1)[C@@H]2Sc3cc(Cl)c(O)cc3O[C@@H]2c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CCc1c(O)ccc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3ccccc3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3cccc(Cl)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCN5CCOCC5)cc4,0,1,1,0,1
Cc1c(O)ccc2S[C@H]([C@H](Oc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
CC1Oc2cc(O)ccc2N=C1c3ccc(O)cc3,0,0,0,0,1
CC1(N(CCc2cc(O)ccc12)c3cccc(O)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
CC1(N(CCc2cc(O)ccc12)c3cccc(F)c3)c4ccc(OCCN5CCCC5)cc4,0,1,1,0,1
Oc1cccc(c1)[C@H]2Sc3cc(O)ccc3O[C@H]2c4ccc(OCCNC5CCCCCC5)cc4,0,1,1,0,1
Oc1ccc2OC(C(Sc2c1)c3ccc(F)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc2C(=O)c3oc4cc(O)ccc4c3Oc2c1,0,0,0,1,1
COc1cc(O)c2C(=O)c3c(Oc2c1)oc4cc(O)ccc34,1,1,0,0,1
Oc1cc(O)c2C(=O)c3oc4c(cc(O)cc4c3Oc2c1)C#N,1,1,0,0,1
Oc1cc(O)c2C(=O)c3sc4ccccc4c3Oc2c1,0,1,0,1,1
CC1=C(c2ccc(O)cc2)C3(Cc4ccccc4C3)c5ccc(O)cc15,1,1,0,0,0
Oc1ccc(cc1)C2=CC(=O)c3c(O)cc(O)cc3O2,1,0,0,0,1
CC1=CC[C@@]2(CO)COC([C@@H]1C2)c3ccc(O)cc3,0,1,1,0,0
Oc1ccc2CC3(Cc2c1)C(=Cc4ccccc34)c5ccccc5,1,1,0,0,0
Oc1ccc2Oc3c(oc4cc(O)ccc34)C(=O)c2c1,0,0,0,1,1
Oc1ccc2c(C=C(c3ccccc3)C24Cc5ccccc5C4)c1,1,0,0,0,0
Oc1ccc2c3C(=O)c4c(O)cc(O)cc4Oc3oc2c1,1,0,0,0,1
Oc1cc(O)c2C(=O)c3oc4c(Br)cc(O)cc4c3Oc2c1,1,0,0,1,1
Oc1ccc2oc3C(=O)c4c(O)cc(O)cc4Oc3c2c1,1,0,0,1,1
OC[C@]12CC[C@H]([C@H](C1)C=CC2)c3ccc(O)cc3,1,1,0,0,0
Oc1cccc(c1)C2=Cc3ccc(O)cc3C24Cc5ccccc5C4,1,1,0,0,0
Oc1ccc2c3Oc4cc(O)cc(O)c4C(=O)c3oc2c1,1,0,0,0,1
Oc1ccc2Oc3c(oc4ccc(O)cc34)C(=O)c2c1,0,0,0,1,1
OC(=O)CCCOc1ccc(cc1)\C(=C\CCc2ccccc2)\c3cccc(O)c3,0,1,1,0,0
CC\C(=C(/c1ccc(O)cc1)\c2ccc(OCC(=O)O)cc2)\c3ccccc3,0,1,1,0,1
CC\C(=C(\c1ccc(OCC(=O)O)cc1)/c2cccc(O)c2)\c3ccccc3,0,1,1,0,1
OC(=O)CCCOc1ccc(cc1)\C(=C\CCc2ccccc2)\c3ccc(O)cc3,0,1,1,0,0
CC[C@@](C)([C@@H](c1ccc(O)cc1)c2ccc(OCCCC(=O)O)cc2)c3ccccc3,0,1,1,0,0
O\N=C/1\[C@H]([C@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
C[C@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
Oc1ccc2C(=O)[C@H]([C@H](Oc2c1)c3ccc(OCCN4CCCCC4)cc3)c5ccccc5,0,1,1,0,1
Cc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
C[C@@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
Oc1ccc(cc1)[C@H]2Oc3cc(O)ccc3C(=O)[C@H]2c4ccc(O)cc4,0,0,0,0,1
CCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CCCCCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,0
COc1cc(ccc1O)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)[C@@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)cc(Cl)c3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
COc1cc(O)ccc1[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CC(C)[C@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
Oc1ccc(cc1)[C@H]2[C@H](Oc3ccccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Oc1ccc2c(OC(=O)c3c2oc4cc(O)ccc34)c1,0,0,0,1,1
CC(C)[C@@H]1[C@H](Oc2cc(O)ccc2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
C[C@H]1[C@H](Oc2cc(O)cc(O)c2C1=O)c3ccc(OCCN4CCCCC4)cc3,0,1,1,0,1
Oc1ccc(cc1)[C@H]2[C@H](Oc3cc(O)cc(F)c3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
CCCc1cc(O)cc2O[C@@H]([C@@H](C(=O)c12)c3ccc(O)cc3)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
Cc1cc(cc(C)c1O)[C@H]2[C@H](Oc3cc(O)ccc3C2=O)c4ccc(OCCN5CCCCC5)cc4,0,1,1,0,1
O[C@@H]1[C@H]([C@H](Oc2cc(O)ccc12)c3ccc(OCCN4CCCCC4)cc3)c5ccc(O)cc5,0,1,1,0,1
